Question, Year, Month, 001, 102, A01, A02, A03, B01, B02, B03, C01, C02, C03, D01, D02, D03, D04, D05, E01, E02, E03, F01, F02, F03, F04, F05, G01, G11, H01, H02, H03, H04, H05, I01, I02, I03,
1, 2023, 6, 2, 3, 4, 4, 5, 4, 3, 3, 4, 3, 3, 5, 2, 5, 4, 5, 3, 1, 3, 5, 5, 3, 3, 4, 4, 4, 4, 5, 3, 2, 5, 4, 5, 5,
2, 2023, 6, 1, 3, 5, 4, 4, 5, 5, 1, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 2, 5, 5, 4, 4, 4, 4, 5, 5, 4, 3, 3, 5, 5, 4, 4,
3, 2023, 6, 1, 2, 5, 4, 5, 4, 4, 3, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5,
4, 2023, 6, 1, 3, 4, 1, 5, 5, 2, 2, 2, 4, 5, 5, 2, 4, 4, 2, 4, 2, 2, 4, 4, 3, 3, 2, 4, 4, 5, 5, 4, 2, 5, 5, 4, 5,
5, 2023, 6, 1, 3, 4, 2, 5, 5, 1, 2, 3, 4, 3, 5, 4, 5, 3, 5, 5, 4, 2, 4, 5, 3, 3, 4, 4, 5, 4, 4, 3, 4, 5, 5, 4, 5,
6, 2023, 6, 1, 3, 4, 4, 5, 5, 5, 3, 3, 3, 3, 5, 2, 5, 5, 5, 3, 3, 3, 5, 4, 4, 4, 1, 4, 4, 5, 5, 5, 3, 3, 5, 4, 4,
7, 2023, 7, 1, 3, 4, 4, 5, , 3, 5, 5, 5, 5, 5, 2, 5, 2, 5, 3, 3, 3, 5, 5, 3, 3, 5, 4, 4, 5, 5, 4, 3, 5, 5, 4, 5,
8, 2023, 7, 1, 3, 4, 4, 5, 2, 4, , 4, 4, 4, 4, 2, 5, 4, 2, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 4, 4, 4, 5, 5, 5,
9, 2023, 7, 2, 3, 4, 4, 5, 5, , 4, 5, 5, 4, 5, 5, 5, 5, 4, 4, 2, 4, 4, 5, 4, 2, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 5,
10, 2023, 7, 2, 3, 2, 4, 4, , 1, 5, 4, 4, 5, 5, 1, 4, 5, 1, 2, 4, 1, 5, 5, 4, 3, 3, 4, 4, 5, 4, 4, 2, 4, 5, 5, 4,
11, 2023, 7, 1, 3, 4, 2, 1, 5, , 5, 5, 4, 5, 5, 2, 5, 3, 5, 5, 5, 2, 5, 5, 4, 3, 4, 2, 4, 4, 5, 5, 4, 5, 4, 5, 4,
12, 2023, 7, 2, 3, 4, 5, 4, , 1, 3, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 5, 4, 4, 1, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4,
13, 2023, 7, 2, 3, 4, 4, 5, 5, , 4, 5, 5, 4, 5, 5, 5, 5, 4, 4, 2, 4, 4, 5, 4, 2, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 5,
14, 2023, 9, 1, 3, 5, 4, 5, 5, , 5, 3, 3, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5,
15, 2023, 9, 1, 3, 4, 4, 5, , 4, 2, 4, 5, 5, 5, 4, 5, 5, 2, 3, 3, 3, 5, 5, 4, 4, 1, 5, 5, 5, 4, 4, 3, 5, 5, 4, 4,

